file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,77,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,21
style.css,78,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,20
style.css,79,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,14
style.css,80,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,14
style.css,81,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,37
style.css,82,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,18
style.css,83,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,24
style.css,84,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,17
style.css,85,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,15
style.css,86,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,34
style.css,87,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,88,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,89,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,26
style.css,90,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,27
style.css,91,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,33
style.css,92,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,13
